country,code,year,new_cases,new_deaths,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations
Malta,MLT,2020,12616,227,400937,5922585,4354292,3633589,0,615978
Malta,MLT,2021,34820,266,1034105,5922585,4354292,3633589,0,1089440
Malta,MLT,2022,68801,341,401996,1376966,478553,471326,0,304484
Malta,MLT,2023,4903,89,0,1407850,478951,471562,491718,8376
Malta,MLT,2024,2424,244,0,1408793,478953,471565,492656,6346
Marshall Islands,MHL,2020,4,0,94,1408793,478953,471565,492656,6897
Marshall Islands,MHL,2021,0,0,3090,1408793,478953,471565,492656,6935
Marshall Islands,MHL,2022,15540,17,0,1408793,478953,471565,492656,6935
Marshall Islands,MHL,2023,594,0,0,1408793,478953,471565,492656,6935
Marshall Islands,MHL,2024,159,0,0,1408793,478953,471565,492656,6251
Martinique,MTQ,2020,6072,42,0,1408793,478953,471565,492656,6897
Martinique,MTQ,2021,43297,741,0,1408793,478953,471565,492656,6935
Martinique,MTQ,2022,178435,301,0,1408793,478953,471565,492656,6935
Martinique,MTQ,2023,2550,20,0,1408793,478953,471565,492656,6935
Martinique,MTQ,2024,0,0,0,1408793,478953,471565,492656,6346
Mauritania,MRT,2020,14191,340,21560,1408793,478953,471565,492656,6954
Mauritania,MRT,2021,26963,523,1869,1937226,1166230,767082,492656,813046
Mauritania,MRT,2022,22321,134,21776,4066473,2098993,1537298,492656,1378605
Mauritania,MRT,2023,482,0,0,4075874,2103754,1540597,383937,1378605
Mauritania,MRT,2024,92,0,0,4075874,2103754,1540597,383937,1242633
Mauritius,MUS,2020,527,10,0,4075874,2103754,1540597,383937,1382382
Mauritius,MUS,2021,90567,776,0,4075874,2103754,1540597,383937,2727773
Mauritius,MUS,2022,201095,254,0,2612729,1123773,1088142,639407,12830845
Mauritius,MUS,2023,31531,20,0,2616012,1123773,1088142,654507,12830845
Mauritius,MUS,2024,5574,14,0,2616012,1123773,1088142,654507,11635643
Mayotte,MYT,2020,5890,55,0,2616012,1123773,1088142,654507,12760539
Mayotte,MYT,2021,16896,130,0,2616012,1123773,1088142,654507,12830845
Mayotte,MYT,2022,20082,2,0,2616012,1123773,1088142,654507,12830845
Mayotte,MYT,2023,34,0,0,2616012,1123773,1088142,654507,12830845
Mayotte,MYT,2024,0,0,0,2616012,1123773,1088142,654507,11741102
Mexico,MEX,2020,1496067,147623,3460436,2616012,1123773,1088142,654507,12750029
Mexico,MEX,2021,2538755,156199,8583095,148814260,81916010,72780350,654507,228894687
Mexico,MEX,2022,3236805,27677,3525933,223158990,97179496,81849960,57014052,132871522
Mexico,MEX,2023,336789,2627,0,223158990,97179496,81849960,57014052,57654670
Mexico,MEX,2024,14002,676,0,223158990,97179496,81849960,57014052,52757972
Micronesia (country),FSM,2020,0,0,0,223158990,97179496,81849960,57014052,57338754
Micronesia (country),FSM,2021,0,0,0,223158990,97179496,81849960,57014052,57654670
Micronesia (country),FSM,2022,22234,58,0,223158990,97179496,81849960,57014052,57654670
Micronesia (country),FSM,2023,4318,7,0,223158990,97179496,81849960,57014052,57654670
Micronesia (country),FSM,2024,5305,0,0,223158990,97179496,81849960,57014052,51968182
Moldova,MDA,2020,143841,3110,193945,223158990,97179496,81849960,57014052,57812628
Moldova,MDA,2021,231939,7159,1847551,223158990,97179496,81849960,57014052,13798543
Moldova,MDA,2022,220678,1664,518841,2266205,1104450,1073914,57014052,775730
Moldova,MDA,2023,34603,241,0,2293086,1109524,1078961,406022,393835
Moldova,MDA,2024,19705,108,0,2293086,1109524,1078961,406022,357149
Monaco,MCO,2020,726,3,0,2293086,1109524,1078961,406022,394914
Monaco,MCO,2021,4320,35,0,65140,1109524,1078961,406022,393835
Monaco,MCO,2022,11428,27,0,65140,28875,25667,10598,393835
Monaco,MCO,2023,707,2,0,71929,28875,25667,17747,393835
Monaco,MCO,2024,0,0,0,71929,28875,25667,17747,357149
Mongolia,MNG,2020,1215,1,491305,71929,28875,25667,17747,394914
Mongolia,MNG,2021,691904,1985,4881144,5340605,2265984,2163572,911049,11931218
Mongolia,MNG,2022,314303,150,117744,5492919,2272965,2175617,1044337,429813
Mongolia,MNG,2023,3912,0,0,5668144,2284018,2185282,1058839,401500
Mongolia,MNG,2024,155,0,0,5668144,2284018,2185282,1058839,364100
Montenegro,MNE,2020,35210,543,0,5668144,2284018,2185282,1058839,399300
Montenegro,MNE,2021,122800,1733,0,5668144,2284018,2185282,1058839,775773
Montenegro,MNE,2022,85963,340,0,679171,292783,284869,101519,83241
Montenegro,MNE,2023,7307,38,0,679171,292783,284869,101519,97090
Montenegro,MNE,2024,0,0,0,679171,292783,284869,101519,88844
Montserrat,MSR,2020,13,1,0,679171,292783,284869,101519,96558
Montserrat,MSR,2021,32,0,0,679171,292783,284869,101519,97090
Montserrat,MSR,2022,1358,7,0,4619,2104,1952,101519,97090
Montserrat,MSR,2023,0,0,0,4619,2104,1952,563,97090
Montserrat,MSR,2024,0,0,0,4619,2104,1952,563,87514
Morocco,MAR,2020,437332,7355,4382058,4619,2104,1952,563,97356
Morocco,MAR,2021,523726,7489,4932094,50265580,24630172,22994608,563,70184398
Morocco,MAR,2022,310490,1450,1173553,55357504,25015240,23515876,6864954,16317025
Morocco,MAR,2023,6721,6,0,55389600,25020168,23521988,6925973,416668
Morocco,MAR,2024,846,5,0,55389600,25020168,23521988,6925973,396116
Mozambique,MOZ,2020,18485,165,267432,55389600,25020168,23521988,6925973,440664
Mozambique,MOZ,2021,165734,1831,660850,55389600,25020168,23521988,6925973,8983092
Mozambique,MOZ,2022,46820,236,15769,29140428,18581292,18448526,6925973,107971380
Mozambique,MOZ,2023,2692,18,0,34950856,22869646,21329744,2323562,107971380
Mozambique,MOZ,2024,114,2,0,34950856,22869646,21329744,2323562,97322148
Myanmar,MMR,2020,124630,2682,1743763,34950856,22869646,21329744,2323562,108267192
Myanmar,MMR,2021,406204,16586,2500373,34950856,22869646,21329744,2323562,8979312
Myanmar,MMR,2022,102849,222,412324,64549990,34777310,27545328,2323562,1387000
Myanmar,MMR,2023,7765,4,0,93477100,41551930,35937796,15987381,1387000
Myanmar,MMR,2024,1786,0,0,93477100,41551930,35937796,15987381,1250200
Namibia,NAM,2020,23932,208,199795,93477100,41551930,35937796,15987381,1390800
Namibia,NAM,2021,124907,3437,599977,93477100,41551930,35937796,15987381,1134285
Namibia,NAM,2022,21513,437,47299,972893,602754,526072,15987381,1400505
Namibia,NAM,2023,1897,21,0,1005937,629767,550978,298560,1400505
Namibia,NAM,2024,307,7,0,1005937,629767,550978,298560,1270047
Nauru,NRU,2020,0,0,0,1005937,629767,550978,298560,1392831
Nauru,NRU,2021,0,0,0,1005937,629767,550978,298560,420882
Nauru,NRU,2022,4621,1,0,25172,11522,8585,298560,61320
Nauru,NRU,2023,772,0,0,32157,13106,11346,7705,61320
Nauru,NRU,2024,0,0,0,32157,13106,11346,7705,55272
Nepal,NPL,2020,260596,2758,1907913,32157,13106,11346,7705,61488
Nepal,NPL,2021,567838,8836,3664183,21988516,12251183,9737333,7705,24715568
Nepal,NPL,2022,172569,425,830807,60184004,27566724,24057020,8674375,39766502
Nepal,NPL,2023,2450,12,0,62627628,27883196,24471044,10273390,12140630
Nepal,NPL,2024,0,0,0,62627628,27883196,24471044,10273390,10943198
Netherlands,NLD,2020,773198,11539,6230581,62627628,27883196,24471044,10273390,12173892
Netherlands,NLD,2021,2312304,9421,15877916,62627628,27883196,24471044,10273390,12140630
Netherlands,NLD,2022,5480565,2016,8578849,39558524,12578379,11764835,9392949,12140630
Netherlands,NLD,2023,61332,10,0,39764184,12582081,11768644,9416761,12140630
Netherlands,NLD,2024,14957,0,0,39764184,12582081,11768644,9416761,11109508
New Caledonia,NCL,2020,38,0,0,39764184,12582081,11768644,9416761,12074106
New Caledonia,NCL,2021,12890,281,0,39764184,12582081,11768644,9416761,12140630
New Caledonia,NCL,2022,66649,33,0,469996,191672,184123,9416761,12140630
New Caledonia,NCL,2023,488,0,0,480702,192375,184816,103511,12140630
New Caledonia,NCL,2024,139,0,0,480702,192375,184816,103511,11009722
New Zealand,NZL,2020,1807,25,1288433,480702,192375,184816,103511,12173892
New Zealand,NZL,2021,11939,26,2690895,8185416,3971242,3856157,358017,9682179
New Zealand,NZL,2022,2043704,2280,278746,11956243,4299798,4138492,3517953,3770827
New Zealand,NZL,2023,382925,1292,0,12346898,4302330,4291717,3660870,3182355
New Zealand,NZL,2024,216587,847,0,13382576,4302330,4291717,4929069,3820292
Nicaragua,NIC,2020,4829,165,0,13382576,4302330,4291717,4929069,4186308
Nicaragua,NIC,2021,8734,52,0,13382576,4879356,4291717,4929069,4174870
Nicaragua,NIC,2022,1802,28,0,12098543,6167575,5930968,0,2150344
Nicaragua,NIC,2023,750,0,0,15507763,6404524,6126708,2892531,0
Nicaragua,NIC,2024,81,0,0,15507763,6404524,6126708,2892531,0
Niger,NER,2020,3208,101,0,15507763,6404524,6126708,2892531,0
Niger,NER,2021,4157,173,0,15507763,6404524,6126708,2892531,0
Niger,NER,2022,2129,40,1713,7187711,6072321,5308074,2892531,0
Niger,NER,2023,21,1,0,7372208,6248483,5483001,0,0
Niger,NER,2024,13,0,0,7372208,6248483,5483001,0,0
Nigeria,NGA,2020,86576,1278,511053,7372208,6248483,5483001,0,0
Nigeria,NGA,2021,154937,1752,191002,14838199,10310476,5483001,0,45467705
Nigeria,NGA,2022,24937,125,0,102292640,72354410,59867076,8311272,76940399
Nigeria,NGA,2023,738,0,0,133048024,93829430,81297810,16826715,67907155
Nigeria,NGA,2024,1,0,0,133048024,93829430,81297810,16826715,61209463
Niue,NIU,2020,0,0,0,133048024,93829430,81297810,16826715,67535061
Niue,NIU,2021,0,0,0,133048024,93829430,81297810,16826715,67907155
Niue,NIU,2022,458,0,0,4920,1636,1634,16826715,67907155
Niue,NIU,2023,535,0,0,4923,1638,1635,1225,67907155
Niue,NIU,2024,99,0,0,4923,1638,1635,1225,61209463
North Korea,PRK,2020,0,0,3189,4923,1638,1635,1225,67535061
North Korea,PRK,2021,0,0,0,4923,1638,1635,1225,67907155
North Korea,PRK,2022,0,0,0,4923,1638,1635,1225,67907155
North Korea,PRK,2023,0,0,0,4923,1638,1635,1225,67907155
North Korea,PRK,2024,0,0,0,4923,1638,1635,1225,61209463
North Macedonia,MKD,2020,81796,2896,398977,4923,1638,1635,1225,67535061
North Macedonia,MKD,2021,141513,5456,347600,1755026,842871,816777,95378,19583463
North Macedonia,MKD,2022,122279,1524,52754,1862610,854452,838048,161561,1412185
North Macedonia,MKD,2023,4728,89,0,1862987,854570,838181,161633,1412185
North Macedonia,MKD,2024,1743,25,0,1862987,854570,838181,161633,1280639
Northern Ireland,nan,2020,0,0,0,1862987,854570,838181,161633,1187783
Northern Ireland,nan,2021,0,0,0,1862987,854570,838181,161633,1412185
Northern Ireland,nan,2022,0,0,0,1862987,854570,838181,161633,1412185
Northern Ireland,nan,2023,0,0,0,1862987,854570,838181,161633,1346412
Northern Ireland,nan,2024,0,0,0,1862987,854570,838181,161633,201188
Northern Mariana Islands,MNP,2020,122,2,27096,1862987,854570,838181,161633,1404447
Northern Mariana Islands,MNP,2021,3133,11,32014,1862987,854570,838181,161633,1412185
Northern Mariana Islands,MNP,2022,9981,28,0,1862987,854570,838181,161633,1412185
Northern Mariana Islands,MNP,2023,1105,0,0,1862987,854570,838181,161633,1412185
Northern Mariana Islands,MNP,2024,644,0,0,1862987,854570,838181,161633,1272901
Norway,NOR,2020,49785,436,2737139,1862987,854570,838181,161633,1329503
Norway,NOR,2021,345124,958,6519578,9789464,4292402,3929338,1567724,9787042
Norway,NOR,2022,1080762,3442,1897847,12145560,4346995,4054726,3743839,2333515
Norway,NOR,2023,28258,896,0,13020641,4346995,4061312,3743839,1095
Norway,NOR,2024,24069,0,0,13020641,4346995,4061312,3743839,1002
Oman,OMN,2020,128719,1497,0,13020641,4346995,4061312,3743839,5888
Oman,OMN,2021,176770,2986,0,6118018,3121894,4061312,3743839,1182901
Oman,OMN,2022,93819,145,0,7108547,3279632,3048826,779859,1332250
Oman,OMN,2023,141,0,0,7108547,3279632,3048826,779859,1332250
Oman,OMN,2024,0,0,0,7108547,3279632,3048826,779859,1208150
Pakistan,PAK,2020,477240,10047,6563579,7108547,3279632,3048826,779859,1335900
Pakistan,PAK,2021,817621,18874,12644423,156623020,96980680,70576460,779859,180052683
Pakistan,PAK,2022,280790,1714,1869136,317080900,154665740,131368980,48935695,182435042
Pakistan,PAK,2023,4980,21,0,340974140,165567890,140475870,53152375,30447205
Pakistan,PAK,2024,0,0,0,340974140,165567890,140475870,53152375,27444193
Palau,PLW,2020,0,0,0,340974140,165567890,140475870,53152375,30280371
Palau,PLW,2021,12,0,0,340974140,165567890,140475870,53152375,30447205
Palau,PLW,2022,5959,9,0,340974140,165567890,140475870,53152375,30447205
Palau,PLW,2023,296,0,0,340974140,165567890,140475870,53152375,30447205
Palau,PLW,2024,107,1,0,340974140,165567890,140475870,53152375,27444193
Palestine,PSE,2020,154097,1500,639122,340974140,165567890,140475870,53152375,30530622
Palestine,PSE,2021,316206,3431,1857387,340974140,165567890,140475870,53152375,10969496
Palestine,PSE,2022,232925,777,554009,3748571,2012767,1776973,336967,3105566
Palestine,PSE,2023,0,0,0,3748571,2012767,1776973,336967,0
Palestine,PSE,2024,0,0,0,3748571,2012767,1776973,336967,0
Panama,PAN,2020,238279,3933,1301716,3748571,2012767,1776973,336967,0
Panama,PAN,2021,252764,3492,3041460,6193744,3120802,2804103,336967,3956542
Panama,PAN,2022,532735,1142,1307591,8688567,3518414,3162983,2007170,6317475
Panama,PAN,2023,19049,88,0,9201276,3746041,3178700,2033783,9738930
Panama,PAN,2024,2160,102,0,9201276,3746041,3178700,2033783,8831742
Papua New Guinea,PNG,2020,780,9,0,9201276,3746041,3178700,2033783,9765612
Papua New Guinea,PNG,2021,35410,581,0,9201276,3746041,3178700,2033783,9738930
Papua New Guinea,PNG,2022,10524,79,0,700257,364894,304687,2033783,9738930
Papua New Guinea,PNG,2023,150,31,0,737695,382020,321192,34483,9738930
Papua New Guinea,PNG,2024,0,0,0,737695,382020,321192,34483,8778378
Paraguay,PRY,2020,106136,2220,560380,737695,382020,321192,34483,9765612
Paraguay,PRY,2021,359965,14404,1488433,6833614,3469821,2948027,415766,6531840
Paraguay,PRY,2022,259264,3064,548657,9486776,3975338,3530179,1981259,8061950
Paraguay,PRY,2023,10394,192,0,9954852,3995915,3550673,2204922,3971137
Paraguay,PRY,2024,0,0,0,9954852,3995915,3550673,2204922,3346079
Peru,PER,2020,1010496,93066,0,9954852,3995915,3550673,2204922,3699894
Peru,PER,2021,1276998,109518,0,51093640,24839324,22085966,4168348,51494140
Peru,PER,2022,2166742,15594,0,86772984,30239408,28445740,28087834,35679346
Peru,PER,2023,50984,2338,0,91412580,30563708,28709644,32139228,4648626
Peru,PER,2024,21757,459,0,91412580,30563708,28709644,32139228,143620
Philippines,PHL,2020,472523,9230,6387800,91412580,30563708,28709644,32139228,157380
Philippines,PHL,2021,2371346,42274,17370116,108534300,56110300,49626440,32139228,139993990
Philippines,PHL,2022,1218790,13893,4059605,169780000,78359630,73920180,21318580,117490795
Philippines,PHL,2023,134620,1403,0,189317150,82684776,78443970,23811248,83143715
Philippines,PHL,2024,8183,69,0,189317150,82684776,78443970,23811248,75398821
Pitcairn,PCN,2020,0,0,0,189317150,82684776,78443970,23811248,82688133
Pitcairn,PCN,2021,0,0,0,189317150,82684776,78443970,23811248,83143715
Pitcairn,PCN,2022,4,0,0,189317150,82684776,78443970,23811248,83143715
Pitcairn,PCN,2023,0,0,0,189317150,82684776,78443970,23811248,83143715
Pitcairn,PCN,2024,0,0,0,189317150,82684776,78443970,23811248,74943239
Poland,POL,2020,1297400,28642,0,189317150,82684776,78443970,23811248,82733733
Poland,POL,2021,2811801,68416,0,46987400,21673668,78443970,23811248,49888217
Poland,POL,2022,2259187,21475,0,57786692,22850776,22623876,15184383,11325542
Poland,POL,2023,263677,1705,0,58634590,22984544,22705868,15394535,259806
Poland,POL,2024,132350,709,0,58634590,22984544,22705868,15394535,87174
Portugal,PRT,2020,377474,6695,5681792,58634590,22984544,22705868,15394535,95526
Portugal,PRT,2021,905174,12193,21123008,20043506,9397561,8540366,3140672,95265
Portugal,PRT,2022,4267920,6885,16020606,28058542,9788424,8904796,7038928,95265
Portugal,PRT,2023,88958,2156,0,28314796,9821414,8909769,7086326,95265
Portugal,PRT,2024,30486,1136,0,28314796,9821414,8909769,7086326,87174
Puerto Rico,PRI,2020,84661,1676,363762,28314796,9821414,8909769,7086326,95526
Puerto Rico,PRI,2021,232900,1643,1881196,28314796,9821414,8909769,7086326,95265
Puerto Rico,PRI,2022,823067,2255,774157,28314796,9821414,8909769,7086326,95265
Puerto Rico,PRI,2023,112085,364,0,28314796,9821414,8909769,7086326,95265
Puerto Rico,PRI,2024,0,0,0,28314796,9821414,8909769,7086326,87174
Qatar,QAT,2020,143621,245,0,28314796,9821414,8909769,7086326,95526
Qatar,QAT,2021,106166,372,4163972,5205664,9821414,8909769,7086326,4921824
Qatar,QAT,2022,239545,68,3410451,7601367,2850159,2850158,7086326,2834975
Qatar,QAT,2023,25192,5,0,7609178,2852178,2852178,1904822,1752730
Qatar,QAT,2024,0,0,0,7609178,2852178,2852178,1904822,1589462
Reunion,REU,2020,8972,46,0,7609178,2852178,2852178,1904822,1743126
Reunion,REU,2021,67630,367,0,7609178,2852178,2852178,1904822,1752730
Reunion,REU,2022,411906,498,0,7609178,2852178,2852178,1904822,1752730
Reunion,REU,2023,6087,14,0,7609178,2852178,2852178,1904822,1752730
Reunion,REU,2024,0,0,0,7609178,2852178,2852178,1904822,1603868
Romania,ROU,2020,627941,15596,0,7609178,2852178,2852178,1904822,1747648
Romania,ROU,2021,1179282,43118,0,15824909,5474507,7817215,1904822,15821919
Romania,ROU,2022,1501257,8660,0,16827486,5474507,8114769,1904822,1247801
Romania,ROU,2023,204113,1340,0,16827486,5474507,8114769,1904822,440920
Romania,ROU,2024,54383,227,0,16827486,5474507,8114769,1904822,403472
Russia,RUS,2020,3159297,57019,87120464,16827486,5474507,8114769,1904822,442128
Russia,RUS,2021,7340685,251841,60597999,146364020,73824200,66773440,7382067,154345069
Russia,RUS,2022,11298527,84852,8297352,183889040,87669150,78929790,19528894,82822038
Russia,RUS,2023,1948043,7647,0,187374510,89081600,79702400,20829310,26009900
Russia,RUS,2024,926834,2408,0,187374510,89081600,79702400,20829310,23587060
Rwanda,RWA,2020,8250,86,627970,187374510,89081600,79702400,20829310,26081160
Rwanda,RWA,2021,102308,1263,1952985,187374510,89081600,79702400,20829310,24932981
Rwanda,RWA,2022,22421,118,1448197,26106436,10572981,9274948,20829310,77040915
Rwanda,RWA,2023,229,1,0,27322060,10884714,10399665,5879013,77040915
Rwanda,RWA,2024,58,0,0,27322060,10884714,10399665,5879013,69442359
Saint Barthelemy,BLM,2020,189,0,0,27322060,10884714,10399665,5879013,76618773
Saint Barthelemy,BLM,2021,1537,4,0,27322060,10884714,10399665,5879013,77040915
Saint Barthelemy,BLM,2022,3682,1,0,27322060,10884714,10399665,5879013,77040915
Saint Barthelemy,BLM,2023,99,0,0,27322060,10884714,10399665,5879013,77040915
Saint Barthelemy,BLM,2024,0,0,0,27322060,10884714,10399665,5879013,69442359
Saint Helena,SHN,2020,0,0,0,27322060,10884714,10399665,5879013,76618773
Saint Helena,SHN,2021,0,0,0,27322060,10884714,10399665,5879013,77040915
Saint Helena,SHN,2022,2166,0,0,7892,4361,3531,5879013,77040915
Saint Helena,SHN,2023,0,0,0,7892,4361,3531,5879013,77040915
Saint Helena,SHN,2024,0,0,0,7892,4361,3531,5879013,69442359
Saint Kitts and Nevis,KNA,2020,32,0,0,7892,4361,3531,5879013,76618773
Saint Kitts and Nevis,KNA,2021,2886,28,13712,54868,27615,25619,5879013,22114182
Saint Kitts and Nevis,KNA,2022,3644,18,1915,64297,33794,27000,3503,228490
Saint Kitts and Nevis,KNA,2023,45,0,0,64297,33794,27000,3503,228490
Saint Kitts and Nevis,KNA,2024,0,0,0,64297,33794,27000,3503,207206
Saint Lucia,LCA,2020,340,5,0,64297,33794,27000,3503,227238
Saint Lucia,LCA,2021,13133,290,0,104994,55681,49313,3503,144837
Saint Lucia,LCA,2022,16275,114,1562,122977,60140,54971,7866,23188
Saint Lucia,LCA,2023,482,1,0,122977,60140,54971,7866,20075
Saint Lucia,LCA,2024,1,0,0,122977,60140,54971,7866,18095
Saint Martin (French part),MAF,2020,986,12,0,122977,60140,54971,7866,19965
Saint Martin (French part),MAF,2021,3132,27,0,122977,60140,54971,7866,20075
Saint Martin (French part),MAF,2022,8088,7,0,122977,60140,54971,7866,20075
Saint Martin (French part),MAF,2023,118,0,0,122977,60140,54971,7866,20075
Saint Martin (French part),MAF,2024,0,0,0,122977,60140,54971,7866,18095
Saint Pierre and Miquelon,SPM,2020,16,0,0,122977,60140,54971,7866,19965
Saint Pierre and Miquelon,SPM,2021,82,0,0,122977,60140,54971,7866,20075
Saint Pierre and Miquelon,SPM,2022,3269,2,0,122977,60140,54971,7866,20075
Saint Pierre and Miquelon,SPM,2023,59,0,0,122977,60140,54971,7866,20075
Saint Pierre and Miquelon,SPM,2024,0,0,0,122977,60140,54971,7866,18095
Saint Vincent and the Grenadines,VCT,2020,115,0,0,122977,60140,54971,7866,19965
Saint Vincent and the Grenadines,VCT,2021,5837,83,1543,122977,60140,54971,7866,189310
Saint Vincent and the Grenadines,VCT,2022,3783,36,735,72979,37331,31445,7866,32238
Saint Vincent and the Grenadines,VCT,2023,136,5,0,73443,37532,31632,4279,7300
Saint Vincent and the Grenadines,VCT,2024,0,0,0,73443,37532,31632,4279,6620
Samoa,WSM,2020,1,0,0,73443,37532,31632,4279,7260
Samoa,WSM,2021,1,0,0,263189,141424,121765,4279,7300
Samoa,WSM,2022,16277,29,0,448784,191130,177651,79061,7300
Samoa,WSM,2023,703,2,0,453083,191403,177954,82268,7300
Samoa,WSM,2024,95,0,0,453083,191403,177954,82268,6580
San Marino,SMR,2020,2401,59,0,453083,191403,177954,82268,7320
San Marino,SMR,2021,5850,40,0,453083,191403,177954,82268,64700
San Marino,SMR,2022,14918,22,0,69338,26357,23633,82268,3285
San Marino,SMR,2023,2123,5,0,69338,26357,23633,19348,3285
San Marino,SMR,2024,0,0,0,69338,26357,23633,19348,2979
Sao Tome and Principe,STP,2020,1014,17,0,69338,26357,23633,19348,3267
Sao Tome and Principe,STP,2021,2863,40,0,137612,86396,51216,19348,3285
Sao Tome and Principe,STP,2022,2402,20,4694,228291,127564,103963,33180,3285
Sao Tome and Principe,STP,2023,457,3,0,263863,140256,111986,34624,3285
Sao Tome and Principe,STP,2024,35,0,0,263863,140256,111986,34624,2961
Saudi Arabia,SAU,2020,362601,6214,11046767,263863,140256,111986,34624,3294
Saudi Arabia,SAU,2021,192816,2661,22263752,50894144,25017090,23180880,2696173,49938544
Saudi Arabia,SAU,2022,271567,640,9940866,60953970,25960748,24199236,10793985,44291536
Saudi Arabia,SAU,2023,14485,131,0,68534630,27041364,25433940,10793985,41376035
Saudi Arabia,SAU,2024,0,0,0,68534630,27041364,25433940,10793985,37295111
Scotland,nan,2020,0,0,0,68534630,27041364,25433940,10793985,35027931
Scotland,nan,2021,0,0,0,68534630,27041364,25433940,10793985,41376035
Scotland,nan,2022,0,0,0,68534630,27041364,25433940,10793985,41376035
Scotland,nan,2023,0,0,0,68534630,27041364,25433940,10793985,32647392
Scotland,nan,2024,0,0,0,68534630,27041364,25433940,10793985,5894668
Senegal,SEN,2020,18945,402,277749,68534630,27041364,25433940,10793985,41489394
Senegal,SEN,2021,55925,1488,656650,68534630,27041364,25433940,10793985,7821236
Senegal,SEN,2022,14030,78,167700,2709648,1949419,1356436,10793985,2602085
Senegal,SEN,2023,150,3,0,3182308,2684696,1548665,815965,2602085
Senegal,SEN,2024,266,1,0,3182308,2684696,1548665,815965,2345441
Serbia,SRB,2020,334991,3163,2296270,3182308,2684696,1548665,815965,2609214
Serbia,SRB,2021,962156,9525,4943550,8239799,3309157,3207534,1723108,10048622
Serbia,SRB,2022,1148332,4827,2613046,8534688,3354075,3278198,1902412,612557
Serbia,SRB,2023,137991,542,0,8534688,3354075,3278198,1902412,80665
Serbia,SRB,2024,0,0,0,8534688,3354075,3278198,1902412,73151
Seychelles,SYC,2020,226,0,0,8534688,3354075,3278198,1902412,80886
Seychelles,SYC,2021,24562,126,0,8534688,3354075,3278198,1902412,514926
Seychelles,SYC,2022,25567,46,0,219489,85803,81661,1902412,479975
Seychelles,SYC,2023,865,0,0,224558,88520,83565,44936,479975
Seychelles,SYC,2024,672,0,0,224558,88520,83565,44936,435265
Sierra Leone,SLE,2020,2583,76,0,224558,88520,83565,44936,481290
Sierra Leone,SLE,2021,4400,47,0,868726,703231,361089,44936,711038
Sierra Leone,SLE,2022,777,3,0,6158679,4318136,3445251,346412,703720
Sierra Leone,SLE,2023,19,0,0,9155936,5676123,4961886,1201709,703720
Sierra Leone,SLE,2024,206,0,0,9155936,5676123,4961886,1201709,634312
Singapore,SGP,2020,58569,29,0,9155936,5676123,4961886,1201709,703772
Singapore,SGP,2021,220836,799,0,11795254,4859718,4684521,2201705,11794635
Singapore,SGP,2022,1921974,883,14598500,14727569,5157242,5114856,4440289,3185508
Singapore,SGP,2023,723688,243,0,15302530,5287005,5248693,4769158,1379335
Singapore,SGP,2024,81640,70,0,15302530,5287005,5248693,4769158,1250849
Sint Maarten (Dutch part),SXM,2020,1424,27,0,15302530,5287005,5248693,4769158,1371777
Sint Maarten (Dutch part),SXM,2021,3631,48,0,15302530,5287005,5248693,4769158,1379335
Sint Maarten (Dutch part),SXM,2022,5938,14,0,65515,29788,26658,4769158,1379335
Sint Maarten (Dutch part),SXM,2023,59,3,0,66829,29788,26773,9146,1379335
Sint Maarten (Dutch part),SXM,2024,0,0,0,66829,29788,26773,9146,1243291
Slovakia,SVK,2020,179543,2138,3244664,66829,29788,26773,9146,1383114
Slovakia,SVK,2021,662190,14497,43182086,5000849,2525330,2451335,121474,1379335
Slovakia,SVK,2022,1017453,4188,4811732,5754313,2595901,2577827,684026,1379335
Slovakia,SVK,2023,16343,384,0,7222380,2840017,2791711,1686458,1379335
Slovakia,SVK,2024,9386,52,0,7222380,2840017,2791711,1686458,1262186
Slovenia,SVN,2020,115411,2881,678496,7222380,2840017,2791711,1686458,1373289
Slovenia,SVN,2021,341431,3208,1402995,2761948,1250439,2791711,1686458,2753177
Slovenia,SVN,2022,843961,2712,3254882,2996643,1265802,1222225,657967,235964
Slovenia,SVN,2023,53614,889,0,3028400,1265802,1222225,681485,0
Slovenia,SVN,2024,6012,224,0,3028400,1265802,1222225,681485,0
Solomon Islands,SLB,2020,17,0,0,3028400,1265802,1222225,681485,0
Solomon Islands,SLB,2021,7,0,0,3028400,1265802,1222225,681485,0
Solomon Islands,SLB,2022,21587,153,0,625956,343821,254352,681485,0
Solomon Islands,SLB,2023,4343,46,0,625956,343821,254352,27783,0
Solomon Islands,SLB,2024,0,0,0,625956,343821,254352,27783,0
Somalia,SOM,2020,4714,130,0,625956,343821,254352,27783,0
Somalia,SOM,2021,18818,1203,0,1504914,1203131,810010,27783,2175576
Somalia,SOM,2022,3778,28,0,8520930,7524443,6324409,27783,3197948
Somalia,SOM,2023,24,0,0,10555834,8972167,7666835,28134,0
Somalia,SOM,2024,0,0,0,10555834,8972167,7666835,28134,0
South Africa,ZAF,2020,1039161,28033,6480412,10555834,8972167,7666835,28134,0
South Africa,ZAF,2021,2407371,63028,14325059,27903338,18905708,15833594,28134,37264141
South Africa,ZAF,2022,602048,11507,4005785,38050612,23970892,21038796,3877516,11657347
